,baseline_xgb,suprise_baseline,knn_baseline_user,knn_baseline_movie,svd,svd_pp,xgb_final
rmse,1.1006040592464112,1.1154452059792708,1.1149804262819085,1.1151091099517698,1.1144937014843392,1.1149561411381645,1.101782607994064
mape,35.83009306603983,36.836370499540436,36.8183863311759,36.82177603139311,36.792656281700076,36.76554213934969,35.88878016859034
predictions,[3.5715685 3.5715685 3.5715685 ... 2.749961  2.3355687 2.749961 ],[3.56288467 3.56288467 3.56288467 ... 3.56288467 3.56288467 3.56288467],[3.56288467 3.56288467 3.56288467 ... 3.56288467 3.56288467 3.56288467],[3.56288467 3.56288467 3.56288467 ... 3.56288467 3.56288467 3.56288467],[3.56288467 3.56288467 3.56288467 ... 3.56288467 3.56288467 3.56288467],[3.56288467 3.56288467 3.56288467 ... 3.56288467 3.56288467 3.56288467],[3.5725904 3.5725904 3.5725904 ... 2.6574988 2.304468  2.6574988]
